Inst, orig, Hashed, result, mask1, mask2, nbucket, start_index
INT, 6, 6, 6, 1023, 2047, 1714, 256
INT, 9, 9, 9, 1023, 2047, 1714, 256
INT, 24, 24, 24, 1023, 2047, 1714, 256
INT, 27, 27, 27, 1023, 2047, 1714, 256
INT, 43, 43, 43, 1023, 2047, 1714, 256
INT, 58, 58, 58, 1023, 2047, 1714, 256
INT, 63, 63, 63, 1023, 2047, 1714, 256
INT, 96, 96, 96, 1023, 2047, 1714, 256
INT, 100, 100, 100, 1023, 2047, 1714, 256
INT, 102, 102, 102, 1023, 2047, 1714, 256
INT, 115, 115, 115, 1023, 2047, 1714, 256
INT, 122, 122, 122, 1023, 2047, 1714, 256
INT, 127, 127, 127, 1023, 2047, 1714, 256
INT, 129, 128, 128, 1023, 2047, 1714, 256
INT, 135, 134, 134, 1023, 2047, 1714, 256
INT, 145, 144, 144, 1023, 2047, 1714, 256
INT, 149, 148, 148, 1023, 2047, 1714, 256

















